
Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Virginia,US,2020-04-14 23:33:31,37,769,-78,170,6182,154,721,6028,51,78,181,42763,1282,2,491,84000051,USA,540,808,20,737
West Virginia,US,2020-04-14 23:33:31,38,491,-80,954,640,9,147,631,54,48,374,17038,164,1,406,84000054,USA,1287,832,25,625
Wyoming,US,2020-04-14 23:33:31,42,756,-107,302,282,1,140,281,56,56,713,5964,43,,354,84000056,USA,1199,420,15,248
Alaska,US,2020-04-15 22:56:51,61,370,-152,404,293,9,106,284,2,49,017,8664,34,3,071,84000002,USA,1449,437,11,604
Arizona,US,2020-04-15 22:56:51,33,729,-111,431,3964,142,385,3822,4,54,460,45310,590,3,582,84000004,USA,622,499,14,883
Arkansas,US,2020-04-15 22:56:51,34,969,-92,373,1569,33,489,1536,5,60,601,21834,130,2,103,84000005,USA,843,328,8,285
Delaware,US,2020-04-15 22:56:51,39,318,-75,507,2014,46,354,1968,10,206,826,13102,208,2,284,84000010,USA,1345,500,10,327
District of Columbia,US,2020-04-15 22:56:51,38,897,-77,026,2197,72,530,2125,11,311,300,11525,313,3,277,84000011,USA,1633,016,14,246
Guam,US,2020-04-15 22:56:51,13,444,144,793,135,5,73,130,66,82,202,978,9,3,703,316,GUM,595,509,6,666
Hawaii,US,2020-04-15 22:56:51,21,094,-157,498,524,9,333,515,15,37,011,19803,45,1,717,84000015,USA,1398,728,8,587
Iowa,US,2020-04-15 22:56:51,42,011,-93,210,1995,53,908,1942,19,76,124,19869,171,2,656,84000019,USA,758,152,8,571
Kentucky,US,2020-04-15 22:56:51,37,668,-84,670,2210,115,653,2095,21,64,557,27697,687,5,203,84000021,USA,809,072,31,085
Maine,US,2020-04-15 22:56:51,44,693,-69,381,770,24,305,746,23,65,587,14846,126,3,116,84000023,USA,1264,559,16,363
Maryland,US,2020-04-15 22:56:51,39,063,-76,802,10032,311,607,9721,24,168,794,55763,2231,3,100,84000024,USA,938,244,22,238
Michigan,US,2020-04-15 22:56:51,43,326,-84,536,28059,1921,452,26138,26,352,178,89697,3918,6,846,84000026,USA,1125,820,13,963
Minnesota,US,2020-04-15 22:56:51,45,694,-93,900,1809,87,940,1722,27,36,571,40242,445,4,809,84000027,USA,813,553,24,599
Montana,US,2020-04-15 22:56:51,46,921,-110,454,404,7,209,397,30,46,651,9583,51,1,732,84000030,USA,1106,598,12,623
New Hampshire,US,2020-04-15 22:56:51,43,452,-71,563,1139,32,365,1107,33,85,758,12166,178,2,809,84000033,USA,916,012,15,627
New Mexico,US,2020-04-15 22:56:51,34,840,-106,248,1484,36,340,1448,35,88,993,32850,181,2,425,84000035,USA,1969,976,12,196
New York,US,2020-04-15 22:56:51,42,165,-74,948,214454,11617,23887,202837,36,1271,891,526012,46201,5,417,84000036,USA,3119,691,21,543
North Dakota,US,2020-04-15 22:56:51,47,528,-99,783,365,9,142,356,38,60,189,11317,44,2,465,84000038,USA,1866,204,12,054
Oklahoma,US,2020-04-15 22:56:51,35,565,-96,928,2263,123,1115,2140,40,61,870,29219,510,5,435,84000040,USA,798,849,22,536
