Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Connecticut,US,2020-05-24 02:32:48,41.5978,-72.7554,40022,3675,7127,29220.0,9,1122.5463756494219,208367,12538,9.18244965269102,84000009,USA,5844.326136998227,31.32776972665034
Delaware,US,2020-05-24 02:32:48,39.3185,-75.5071,8529,322,4454,3753.0,10,875.8795765709145,50534,,3.7753546722945246,84000010,USA,5189.553115539289,
Diamond Princess,US,2020-05-24 02:32:48,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-05-24 02:32:48,38.8974,-77.0268,7966,427,1075,6464.0,11,1128.7299025574248,51991,,5.360281195079086,84000011,USA,7366.7833748258945,
Florida,US,2020-05-24 02:32:48,27.7663,-81.6868,50127,2233,,47894.0,12,233.39051036894622,856437,9567,4.45468509984639,84000012,USA,3987.5569758583038,19.08552277215872
Georgia,US,2020-05-24 02:32:48,33.0406,-83.6431,42242,1822,,40420.0,13,397.85548715540483,453537,7411,4.313242744188249,84000013,USA,4271.6297542256725,17.544150371668007
Grand Princess,US,2020-05-24 02:32:48,,,103,3,,100.0,99999,,,,2.912621359223301,84099999,USA,,
Guam,US,2020-05-24 02:32:48,13.4443,144.7937,165,5,134,26.0,66,100.46946641579746,5359,,3.0303030303030303,316,GUM,3263.1264880136882,
Hawaii,US,2020-05-24 02:32:48,21.0943,-157.4983,643,17,585,41.0,15,45.41370971387244,48821,84,2.6438569206842923,84000015,USA,3448.1224291461376,13.063763608087092
Idaho,US,2020-05-24 02:32:48,44.2405,-114.4788,2595,79,1735,781.0,16,145.2101630326821,40609,225,3.044315992292871,84000016,USA,2272.3851678590313,8.670520231213873
Illinois,US,2020-05-24 02:32:48,40.3495,-88.9861,107796,4790,,103006.0,17,850.6748951078145,722247,,4.44357861145126,84000017,USA,5699.630700275832,
Indiana,US,2020-05-24 02:32:48,39.8494,-86.2583,30901,1964,,28937.0,18,459.0017050841632,214933,5285,6.355781366298825,84000018,USA,3192.6026173539512,17.103006375198213
Iowa,US,2020-05-24 02:32:48,42.0115,-93.2105,16898,446,9254,7198.0,19,535.5824118006891,123941,,2.639365605397088,84000019,USA,3928.31220860393,
Kansas,US,2020-05-24 02:32:48,38.5266,-96.7265,8946,205,485,8256.0,20,307.0729759991542,76434,787,2.2915269394142634,84000020,USA,2623.6100880303325,8.797227811312318
Kentucky,US,2020-05-24 02:32:48,37.6681,-84.6701,8571,391,3069,5111.0,21,191.84483734597407,171459,2076,4.561894761404737,84000021,USA,3837.7696845762885,24.221211060553028
Louisiana,US,2020-05-24 02:32:48,31.1695,-91.8678,36925,2668,26249,8008.0,22,794.2920249854049,314447,,7.225457007447528,84000022,USA,6764.055365757226,
Maine,US,2020-05-24 02:32:48,44.6939,-69.3819,2013,77,1232,704.0,23,149.75316393545066,37463,243,3.8251366120218577,84000023,USA,2786.9859813779376,12.071535022354695
Maryland,US,2020-05-24 02:32:48,39.0639,-76.8021,45495,2243,3283,39969.0,24,752.5208082465496,232327,7825,4.930212111221013,84000024,USA,3842.8596948564928,17.19969227387625
Massachusetts,US,2020-05-24 02:32:48,42.2302,-71.5301,91662,6304,,85358.0,25,1329.879725841251,520986,9260,6.877441033361698,84000025,USA,7558.734468450721,10.102332482380922
Michigan,US,2020-05-24 02:32:48,43.3266,-84.5361,54365,5223,33168,15974.0,26,544.3654595234517,450918,,9.60728409822496,84000026,USA,4515.114214612265,
Minnesota,US,2020-05-24 02:32:48,45.6945,-93.9002,19845,861,13485,5499.0,27,351.8846619779447,189493,2534,4.338624338624339,84000027,USA,3360.024200160578,12.768959435626103
Mississippi,US,2020-05-24 02:32:48,32.7416,-89.6787,13005,616,7681,4708.0,28,436.97408967091366,134220,1996,4.736639753940792,84000028,USA,4509.85484933718,15.34794309880815
Missouri,US,2020-05-24 02:32:48,38.4561,-92.2884,11966,682,,11284.0,29,194.96766397911307,148304,,5.699481865284974,84000029,USA,2416.3867991608213,
Montana,US,2020-05-24 02:32:48,46.9219,-110.4544,479,16,441,22.0,30,44.817539283181354,32652,65,3.3402922755741127,84000030,USA,3055.0778552702245,13.569937369519833
Nebraska,US,2020-05-24 02:32:48,41.1254,-98.2681,11963,147,,11816.0,31,618.4320991228324,79982,,1.2287887653598595,84000031,USA,4134.701676171728,
Nevada,US,2020-05-24 02:32:48,38.3135,-117.0554,7526,387,359,6780.0,32,244.33827377574383,107047,,5.142173797501993,84000032,USA,3475.3759225182102,
New Hampshire,US,2020-05-24 02:32:48,43.4525,-71.5639,4089,208,2197,1684.0,33,300.7256689105258,59539,419,5.086818292981169,84000033,USA,4378.798141663927,10.24700415749572
New Jersey,US,2020-05-24 02:32:48,40.2989,-74.521,153140,11082,24762,117296.0,34,1724.1243432081503,578735,,7.236515606634452,84000034,USA,6515.679128683354,
New Mexico,US,2020-05-24 02:32:48,34.8405,-106.2485,6625,302,2149,4174.0,35,315.9532799288831,158383,1139,4.558490566037736,84000035,USA,7553.453333581327,17.192452830188678
New York,US,2020-05-24 02:32:48,42.1657,-74.9481,359926,29031,63292,267603.0,36,1850.1805402106072,1652061,77034,8.065824641731911,84000036,USA,8492.332072261732,21.40273278396115
North Carolina,US,2020-05-24 02:32:48,35.6301,-79.8064,22864,778,11637,10449.0,37,217.99977955935518,329582,,3.4027291812456264,84000037,USA,3142.44241369539,
North Dakota,US,2020-05-24 02:32:48,47.5289,-99.78399999999999,2365,52,1451,862.0,38,310.3422031278295,64148,150,2.1987315010570825,84000038,USA,8417.687799680341,6.342494714587738
